,,,,,,,,,,,,
,,,,,,,,,제품,기업,위치,HS code
,,,,,,,,,임플란트,덴티움,수원 광교,9021.29.0000
,,,,,,,,,​,오스템임플란트,서울 강서,-
,,,,,,,,,​,디오,부산 해운대구,-
,,,,,,,,,​,덴티스,대구 달서구,-
,,,,,,,,,​,메가젠임플란트,대구 달성군,-
,,,,,,,,,​,네오바이오텍,서울 구로구,-
,,,,,,,,,치과영상,바텍,경기 화성,9022.13.0000
,,,,,,,,,에스테틱,클래시스,서울 강남구,9018.90.0080
,,,,,,,,,​,클래시스 소모품,서울 강남구,9018.90.9090
,,,,,,,,,​,제이시스메디칼 장비,서울 금천구,9018.90.8190
,,,,,,,,,​,제이시스메디컬 소모품,서울 금천구,9018.90.9000
,,,,,,,,,​,루트로닉,경기 고양시,9018.9
,,,,,,,,,​,리메드,대전 유성구,9018.9
,,,,,,,,,톡신,휴젤,강원 춘천시,3002.49.1000
,,,,,,,,,​,대웅,경기 화성시,3002.49.1000
,,,,,,,,,,,,3002.90.9000
,,,,,,,,,​,메디톡스,충북 청주시,3002.90.1000
,,,,,,,,,필러,휴젤,강원 춘천시,3304.99.9000
,,,,,,,,,의료디텍터,뷰웍스,경기 안양시,9022.90.1090
,,,,,,,,,바이오의약품,셀트리온,인천 연수구,3002.14
,,,,,,,,,(원료),,,
,,,,,,,,,인체용백신,유바이오로직스,강원 춘천시,3002.20.0000
,,,,,,,,,콘텍트렌즈,인터로조,경기 평택시,9001.30.0000
,,,,,,,,,스파이럴,엘앤케이바이오,경기 용인시,9021.90.1000
,,,,,,,,,임플란트,,,
,,,,,,,,,체성분 분석기,인바디,서울 강남구,9018.19.8000
📦 HS Code: 381800,,,,,,,,,,,,[출처] HS code 의료관련 기업 정리|작성자 지적호기심
,,,,,,,,,,,,
국제 HS 품목명 (영문):,,,,,,,,,,,,
,,,,,,,,,,,,
"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics.",,,,,,,,,,,,
,,,,,,,,,,,,
국제 HS 품목명 (한국어 해석):,,,,,,,,,,,,
,,,,,,,,,,,,
"전자용으로 도핑(첨가)된 화학 원소, 화합물 (디스크, 웨이퍼 등과 유사한 형태).",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
📝 구체적으로 무슨 제품인가?,,,,,,,,,,,,
,,,,,,,,,,,,
"반도체 제조 공정에서 사용하는,",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"실리콘 웨이퍼,",,,,,,,,,,,,
,,,,,,,,,,,,
"갈륨 아르세나이드 웨이퍼,",,,,,,,,,,,,
,,,,,,,,,,,,
기타 도핑된(불순물을 주입해 전기적 특성을 조절한) 화학 원소나 화합물 들을 말합니다.,,,,,,,,,,,,
,,,,,,,,,,,,
"주로 집적회로(IC), 트랜지스터, 다이오드 같은 전자소자의 원재료가 되는 반도체 웨이퍼로 사용됩니다.",,,,,,,,,,,,
,,,,,,,,,,,,
여기서 “도핑(doped)”은 전기적 성질을 얻기 위해 의도적으로 불순물을 첨가한 것을 뜻합니다.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
🔍 용도,,,,,,,,,,,,
,,,,,,,,,,,,
**전자산업 (semiconductor electronics)**의 핵심 재료,,,,,,,,,,,,
,,,,,,,,,,,,
파운드리(반도체 위탁생산)에서 웨이퍼로 가공해 칩을 제조,,,,,,,,,,,,
,,,,,,,,,,,,
"스마트폰, PC, 서버, 차량용 전장 등에 들어가는 반도체 칩의 출발점",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
🇰🇷 한국에서는?,,,,,,,,,,,,
,,,,,,,,,,,,
"삼성전자, SK하이닉스 같은 기업이 대규모로 수입하거나 자체적으로 생산.",,,,,,,,,,,,
,,,,,,,,,,,,
"국내 웨이퍼 공급사는 SK실트론, LG실트론(현재 SK실트론에 흡수) 등이 있음.",,,,,,,,,,,,
,,,,,,,,,,,,
주로 고순도 실리콘 원재료(폴리실리콘)를 가공해 도핑된 웨이퍼를 만듭니다.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
✅ 실제적으로 관련성 있는 기업들 (데이터 내에서),,,,,,,,,,,,
,,,,,,,,,,,,
🎯 간접적이라도 HS 381800(반도체 웨이퍼) 시장과 관련 있다고 볼 수 있는 기업,,,,,,,,,,,,
,,,,,,,,,,,,
Ticker,상관계수,관련성 이유,,,,,,,,,,
A170920,0.57,"덕산테코피아, OLED/반도체용 화학 소재",,,,,,,,,,
A059090,0.57,"미코, 자회사 미코세라믹스가 반도체 공정 소모품",,,,,,,,,,
A065690,0.49,"에이디테크놀로지, 시스템반도체 설계(팹리스)",,,,,,,,,,
A000660,0.47,"SK하이닉스, 메모리 웨이퍼 직접 사용 (매우 직접적)",,,,,,,,,,
A061970,0.46,"엘비세미콘, 반도체 후공정 패키징",,,,,,,,,,
,,,,,,,,,,,,
"즉,",,,,,,,,,,,,
,,,,,,,,,,,,
SK하이닉스(A000660) 는 웨이퍼를 직접 사서 DRAM/NAND 제조.,,,,,,,,,,,,
,,,,,,,,,,,,
덕산테코피아(A170920) 는 웨이퍼 위 포토레지스트와 같은 소재를 납품.,,,,,,,,,,,,
,,,,,,,,,,,,
에이디테크놀로지(A065690) 는 시스템반도체 설계 → TSMC나 삼성에 생산위탁.,,,,,,,,,,,,
,,,,,,,,,,,,
엘비세미콘(A061970) 은 후공정 패키징 업체.,,,,,,,,,,,,
,,,,,,,,,,,,
우선 가장 직접적인 기업인 SK실트론이 비상장 기업이임 ,,,,,,,,,,,,
"덕산테코피아, 에이디테크놀로저, 엘비세미콘 모두 분기별로 적자 지속, 영업성과 부진 ",,,,,,,,,,,,
SK하이닉스의 경우 HS Code 854232가 더 직접적 상품 코드 ,,,,,,,,,,,,
,,,,,,,,,,,,
미코 정도가 최근 실적 개선 및 재무상태가 양호 ,,,,,,,,,,,,
리서치 해볼만 함 ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
📦 HS Code: 401120,,,,,,,,,,,,
,,,,,,,,,,,,
국제 HS 코드명 (영문),,,,,,,,,,,,
,,,,,,,,,,,,
"New pneumatic tires, of rubber, of a kind used on buses or lorries",,,,,,,,,,,,
,,,,,,,,,,,,
한국어 해석,,,,,,,,,,,,
,,,,,,,,,,,,
고무제의 새로운 공기타이어(버스용 또는 화물자동차용),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
📝 구체적으로 어떤 제품인가?,,,,,,,,,,,,
,,,,,,,,,,,,
"고무로 만들어진, 공기압을 넣어 사용하는 새로운 타이어를 말합니다.",,,,,,,,,,,,
,,,,,,,,,,,,
주 용도:,,,,,,,,,,,,
,,,,,,,,,,,,
